image_id,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g,Month,DayOfYear,Season,Month_sin,Month_cos,Species_Count,Has_Clover,Has_Ryegrass,State_Encoded,Dead_Ratio,Green_Ratio,Clover_Ratio,NDVI_Height_Interaction,Biomass_per_Height,is_anomaly,anomaly_score,Cluster
ID1011485656,train/ID1011485656.jpg,,Tas,Ryegrass_Clover,0.62,4.6667,0.0,31.9984,16.2751,48.2735,16.275,,,,,,2,1,1,1,0.6628564188870412,0.33714356039765997,0.0,2.8933539999999995,10.344245324480827,False,,1
ID1012260530,train/ID1012260530.jpg,,NSW,Lucerne,0.55,16.0,0.0,0.0,7.6,7.6,7.6,,,,,,1,0,0,0,0.0,0.9999998684210699,0.0,8.8,0.4749999703125018,False,,4
ID1025234388,train/ID1025234388.jpg,,WA,SubcloverDalkeith,0.38,1.0,6.05,0.0,0.0,6.05,6.05,,,,,,1,1,0,3,0.0,0.0,0.9999998347107711,0.38,6.0499939500060504,False,,2
ID1028611175,train/ID1028611175.jpg,,Tas,Ryegrass,0.66,5.0,0.0,30.9703,24.2376,55.2079,24.2376,,,,,,1,0,1,1,0.5609758646683561,0.43902411721829454,0.0,3.3000000000000003,11.041577791684443,False,,4
ID1035947949,train/ID1035947949.jpg,,Tas,Ryegrass,0.54,3.5,0.4343,23.2239,10.5261,34.1844,10.9605,,,,,,1,0,1,1,0.6793712722946353,0.3079211480113401,0.012704625130041041,1.8900000000000001,9.76696863800896,False,,4
ID1036339023,train/ID1036339023.jpg,,Vic,Phalaris_Clover,0.82,7.0,23.0755,2.6135,32.191,57.88,55.2665,,,,,,2,1,0,2,0.04515376563314158,0.5561679240468569,0.3986782930428768,5.739999999999999,8.268570247347109,False,,3
ID1049634115,train/ID1049634115.jpg,,Vic,Ryegrass_Clover,0.72,2.0,1.5083,3.0167,13.575,18.1,15.0833,,,,,,2,1,1,2,0.16666849907908843,0.7499999585635381,0.08333148710875761,1.44,9.049995475002262,False,,3
ID1051144034,train/ID1051144034.jpg,,WA,SubcloverLosa,0.8,1.0,55.32,0.0,0.0,55.32,55.32,,,,,,1,1,0,3,0.0,0.0,0.9999999819233554,0.8,55.31994468005532,True,,2
ID1052620238,train/ID1052620238.jpg,,Tas,Ryegrass,0.68,5.0,0.0,11.2291,20.1707,31.3998,20.1707,,,,,,1,0,1,1,0.3576169161072072,0.6423830520454572,0.0,3.4000000000000004,6.279958744008251,False,,4
ID105271783,train/ID105271783.jpg,,Vic,Phalaris_Clover,0.86,4.0,5.2698,8.5635,27.6667,41.5,32.9365,,,,,,2,1,0,2,0.20634939261808694,0.6666674538152421,0.12698312947028603,3.44,10.374997406250648,False,,3
ID1053972079,train/ID1053972079.jpg,,Tas,Clover,0.56,2.5,21.0801,7.9393,1.3688,30.3882,22.4489,,,,,,1,1,0,1,0.2612625867520094,0.04504379841373301,0.6936935819267485,1.4000000000000001,12.155275137889944,False,,2
ID1058383417,train/ID1058383417.jpg,,Tas,Ryegrass_Clover,0.62,2.0,0.1,9.5,13.1,22.7,13.2,,,,,,2,1,1,1,0.41850218420695223,0.5770924855906394,0.004405286149546866,1.24,11.349994325002836,False,,1
ID1062837331,train/ID1062837331.jpg,,Vic,Ryegrass_Clover,0.82,9.0,19.98,3.9623,35.4077,59.35,55.3877,,,,,,2,1,1,2,0.06676158269988909,0.5965913968560843,0.33664700359482724,7.38,6.594443711728477,False,,3
ID1070112260,train/ID1070112260.jpg,,NSW,Fescue_CrumbWeed,0.6,6.0,0.0,9.8765,22.1235,32.0,22.1235,,,,,,2,0,0,0,0.3086406153549808,0.6913593533950203,0.0,3.5999999999999996,5.333332444444593,False,,4
ID1078930021,train/ID1078930021.jpg,,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,0.0,5.0189,32.9811,38.0,32.9811,,,,,,3,1,1,2,0.13207631231378128,0.86792366137043,0.0,4.3,7.599998480000304,False,,3
ID1084819986,train/ID1084819986.jpg,,Tas,Clover,0.69,3.1667,21.4551,13.0742,2.6819,37.2112,24.137,,,,,,1,1,0,1,0.3513511966464076,0.07207238487142623,0.5765763916085376,2.1850229999999997,11.750777859987412,False,,2
ID1088965591,train/ID1088965591.jpg,,NSW,Lucerne,0.89,43.0,0.0,0.3443,59.5557,59.9,59.5557,,,,,,1,0,0,0,0.005747913092689265,0.9942520702128202,0.0,38.27,1.3930232234180646,False,,0
ID1098771283,train/ID1098771283.jpg,,Tas,Clover,0.48,2.6667,8.376,15.1673,0.4528,23.9961,8.8287,,,,,,1,1,0,1,0.6320735189437651,0.01886973221191226,0.34905670717088577,1.280016,8.998421645321315,False,,1
ID1103883611,train/ID1103883611.jpg,,NSW,Phalaris,0.48,26.0,0.0,12.9166,82.7834,95.7,82.7834,,,,,,1,0,0,0,0.13496969555935534,0.865030293991324,0.0,12.48,3.680769089201189,False,,0
ID1108283583,train/ID1108283583.jpg,,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,5.773,7.2162,40.4108,53.4,46.1838,,,,,,3,1,1,2,0.13513482893005938,0.7567565401356454,0.10810861220770389,4.5649999999999995,9.709089143801974,False,,3
